#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
5152472|2015-05-12T13:08:10|27.6132|85.9896|10.0|us|NEIC PDE|us|us10002bg2|mb|4.4|us|NEPAL
5152474|2015-05-12T13:02:17|27.6406|85.8062|10.0|us|NEIC PDE|us|us10002bhg|mb|4.0|us|NEPAL
5113540|2015-05-12T12:28:22|27.6751|85.9931|10.0|us|NEIC PDE|us|us20002ena|mb|4.5|us|NEPAL
5113536|2015-05-12T11:58:12|27.6936|85.9018|10.0|us|NEIC PDE|us|us20002en6|mb|4.3|us|NEPAL
5113535|2015-05-12T11:21:30|27.6838|86.1369|10.0|us|NEIC PDE|us|us20002en0|mb|4.4|us|NEPAL
5152475|2015-05-12T11:13:21|27.8202|85.982|10.0|us|NEIC PDE|us|us10002bfv|mb|4.1|us|NEPAL
5152476|2015-05-12T11:06:34|27.6414|86.2033|10.0|us|NEIC PDE|us|us20002ep8|mb|4.2|us|NEPAL
5152477|2015-05-12T10:53:22|27.7305|86.199|10.0|us|NEIC PDE|us|us10002bfu|mb|4.0|us|NEPAL
5152478|2015-05-12T10:42:22|27.4765|86.3405|10.0|us|NEIC PDE|us|us10002bfs|mb|4.0|us|NEPAL
5152479|2015-05-12T10:41:32|27.716|86.2746|10.0|us|NEIC PDE|us|us10002bg8|mb|4.5|us|NEPAL
5152480|2015-05-12T10:40:07|27.7987|86.4044|10.0|us|NEIC PDE|us|us10002bh9|mb|4.6|us|NEPAL
5113533|2015-05-12T10:35:39|27.6606|86.0849|10.0|us|NEIC PDE|us|us20002ems|mb|4.5|us|NEPAL
5152481|2015-05-12T10:31:00|27.6896|85.9158|10.01|us|NEIC PDE|us|us10002bh8|mb|4.4|us|NEPAL
5113531|2015-05-12T10:15:07|27.7172|86.1734|10.0|us|NEIC PDE|us|us20002emm|mb|4.3|us|NEPAL
5152483|2015-05-12T09:44:38|27.7617|85.9301|10.0|us|NEIC PDE|us|us10002bgd|mb|4.2|us|NEPAL
5152484|2015-05-12T09:38:19|27.6658|86.2505|10.0|us|NEIC PDE|us|us10002bfm|mb|4.5|us|NEPAL
5152485|2015-05-12T09:02:09|27.7318|86.0672|10.0|us|NEIC PDE|us|us10002bfi|mb|4.6|us|NEPAL
5113946|2015-05-12T08:59:39|27.7729|86.195|10.0|us|NEIC PDE|us|us20002emb|mb|4.5|us|NEPAL
